#,PDF,VUE,LISTE,LETTRES,AUTEUR,TEXTE,TAGS ,SOURCE,N ENTRÉES,N UNCHECKED,N CHECKED,ASSIGNÉ,TERMINÉ,Inclus dataset,COMMENTAIRE,CATEGORIE,
1,Bottin1_1820,107,ALPHABETIQUE,,,TRUE,TRUE,EchStrat_20211103,76,0,76,NATHALIE,TRUE,TRUE,76/76 checked.,"bottin, liste simple",
2,Bottin1_1820,201,ALPHABETIQUE,,,TRUE,TRUE,EchStrat_20211103,75,0,75,NATHALIE,TRUE,TRUE,75/75 checked.,"bottin, liste simple",
3,Bottin1_1820,339,PROFESSIONS,,,TRUE,TRUE,EchStrat_20211103,66,0,66,EDWIN,TRUE,TRUE,66/67 Layout ~ok en font-size=10,"bottin, liste simple",
4,Bottin1_1820,589,PROFESSIONS,,,TRUE,TRUE,EchStrat_20211103,86,24,62,EDWIN,TRUE,TRUE,"62/86 Layout ~ok en font-size=10, qualité horrible.","bottin, liste simple",
5,Bottin1_1827,37,ALPHABETIQUE,,PASCAL,TRUE,TRUE,EchStrat_20210701,147,0,147,BERTRAND,TRUE,TRUE,147/148 checked.,"bottin, liste simple, decorations",
6,Bottin1_1827,117,ALPHABETIQUE,,LAUREENCIA,TRUE,TRUE,EchStrat_20210701,138,0,138,BERTRAND,TRUE,TRUE,138/139 checked.,"bottin, liste simple, decorations",
7,Bottin1_1827,452,PROFESSIONS,,,TRUE,TRUE,EchStrat_20210701,147,0,147,JOSEPH,TRUE,TRUE,147/147,"bottin, liste simple, decorations",
8,Bottin1_1827,475,PROFESSIONS,,,TRUE,TRUE,EchStrat_20210701,85,4,81,JOSEPH,TRUE,TRUE,81/85,"bottin, liste simple, decorations",
9,Bottin1_1837,80,ALPHABETIQUE,,LAUREENCIA,TRUE,TRUE,choix perso,142,0,142,JOSEPH,TRUE,TRUE,142/142,"bottin, liste simple, decorations",
10,Bottin1_1837,114,ALPHABETIQUE,,LAUREENCIA,TRUE,TRUE,EchStrat_20210701,141,0,141,JOSEPH,TRUE,TRUE,141/141,"bottin, liste simple, decorations",
