run,dataset,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,trainsize,trainsize_percent
1,test,0.21808356046676636,0.8820037642970899,0.9202416918429003,0.9007170843498188,0.9587099114348759,13.488,125.297,7.859,100,49,0.8
1,test,0.1859499216079712,0.9025783767946088,0.9306646525679758,0.9164063662055628,0.9619442009491279,13.2803,127.256,7.982,71.43,99,1.5
1,test,0.1687752604484558,0.916996627071418,0.9445619335347432,0.9305751916065184,0.9666596136988785,13.5522,124.703,7.822,61.54,199,3.1
1,test,0.17771631479263306,0.9214296263476591,0.9424471299093655,0.9318198790232246,0.9646646313816764,13.868,121.863,7.644,32,398,6.2
1,test,0.1478799730539322,0.9306639187398793,0.9549848942598187,0.9426675613211064,0.9691986821025904,10.7395,157.364,9.87,20,796,12.5
1,test,0.1417178213596344,0.937043115023124,0.9487915407854985,0.94288073256774,0.9678686938911223,9.6758,174.663,10.955,8,1593,25
1,test,0.15071626007556915,0.9400654372397382,0.954833836858006,0.9473920863309353,0.9650878094489617,9.7076,174.09,10.919,6,3186,50
1,test,0.12869484722614288,0.9560672625359794,0.9533232628398791,0.9546932909764768,0.9675361968382553,9.6815,174.56,10.949,2.01,6373,100
2,test,0.19304126501083374,0.892099912866686,0.9279456193353475,0.909669776395676,0.9606142127376598,9.6333,175.434,11.004,125,49,0.8
2,test,0.17594954371452332,0.9101998824221046,0.9354984894259819,0.9226758045292014,0.9646041773720642,9.8606,171.39,10.75,100,99,1.5
2,test,0.17665302753448486,0.9220683559222157,0.9454682779456194,0.9336217183770884,0.9675059698334492,9.6292,175.509,11.008,69.23,199,3.1
2,test,0.17117802798748016,0.9225185185185185,0.9406344410876133,0.931488406881077,0.9631532811413717,9.8046,172.367,10.811,28,398,6.2
2,test,0.1484733670949936,0.9329259204054255,0.9454682779456194,0.9391552254482706,0.9656318955354714,9.9744,169.433,10.627,12,796,12.5
2,test,0.1631339192390442,0.945026962252846,0.9530211480362538,0.9490072202166066,0.9683825529728259,9.9829,169.29,10.618,14,1593,25
2,test,0.15610626339912415,0.9343703703703704,0.9527190332326284,0.943455497382199,0.9648459934105129,9.8421,171.711,10.77,8,3186,50
2,test,0.09326448291540146,0.9524528301886792,0.9531722054380665,0.9528123820309551,0.9696218601698757,9.7717,172.948,10.848,2.51,6373,100
3,test,0.24163654446601868,0.8718463302752294,0.9187311178247735,0.8946749043836424,0.9569567451561225,9.6283,175.524,11.009,250,49,0.8
3,test,0.19701437652111053,0.8882770612954645,0.9259818731117825,0.906737667332298,0.9607653477616903,13.288,127.182,7.977,85.71,99,1.5
3,test,0.1953050047159195,0.910237606336169,0.9374622356495468,0.9236493525822296,0.9639391832663301,9.1456,184.788,11.59,84.62,199,3.1
3,test,0.18003323674201965,0.9375280227170827,0.947583081570997,0.942528735632184,0.9663573436508176,9.3471,180.804,11.34,48,398,6.2
3,test,0.16195471584796906,0.9421139678243873,0.9465256797583081,0.9443146710873332,0.9648157664057069,9.5929,176.173,11.05,12,796,12.5
3,test,0.1631339192390442,0.945026962252846,0.9530211480362538,0.9490072202166066,0.9683825529728259,9.2285,183.129,11.486,14,1593,25
3,test,0.15610626339912415,0.9343703703703704,0.9527190332326284,0.943455497382199,0.9648459934105129,13.1032,128.977,8.09,8,3186,50
3,test,0.09326448291540146,0.9524528301886792,0.9531722054380665,0.9528123820309551,0.9696218601698757,9.5247,177.433,11.129,2.51,6373,100
4,test,0.258338987827301,0.8704759190652608,0.922809667673716,0.8958791611673266,0.9581658253483663,10.2123,165.487,10.38,325,49,0.8
4,test,0.2480042725801468,0.88733410271206,0.929154078549849,0.9077626918536009,0.9618535199347097,9.821,172.079,10.793,214.29,99,1.5
4,test,0.18519453704357147,0.9140636456958499,0.9415407854984894,0.9275987796711064,0.9663573436508176,13.7957,122.502,7.684,76.92,199,3.1
4,test,0.17222140729427338,0.930005995203837,0.9373111782477341,0.9336442973216972,0.9641507722999728,9.739,173.529,10.884,20,398,6.2
4,test,0.2021665722131729,0.9325025960539979,0.9495468277945619,0.9409475338672255,0.9652691714777982,13.0125,129.875,8.146,38,796,12.5
4,test,0.18705111742019653,0.933659839715049,0.9503021148036254,0.9419074711783201,0.9638182752471057,10.0269,168.547,10.572,13,1593,25
4,test,0.1772911548614502,0.9571385451252641,0.9580060422960726,0.9575720972369017,0.9694102711362331,9.7719,172.945,10.847,10,3186,50
4,test,0.12208899855613708,0.9509700706873214,0.9551359516616315,0.9530484588137765,0.9689568660641417,14.1812,119.172,7.475,2.26,6373,100
5,test,0.22940276563167572,0.8793202764976958,0.9223564954682779,0.9003243880861103,0.9579844633195297,9.9456,169.925,10.658,100,49,0.8
5,test,0.1859499216079712,0.9025783767946088,0.9306646525679758,0.9164063662055628,0.9619442009491279,9.9466,169.908,10.657,71.43,99,1.5
5,test,0.1687752604484558,0.916996627071418,0.9445619335347432,0.9305751916065184,0.9666596136988785,13.6581,123.736,7.761,61.54,199,3.1
5,test,0.17771631479263306,0.9214296263476591,0.9424471299093655,0.9318198790232246,0.9646646313816764,9.5635,176.714,11.084,32,398,6.2
5,test,0.1478799730539322,0.9306639187398793,0.9549848942598187,0.9426675613211064,0.9691986821025904,10.8322,156.016,9.786,20,796,12.5
5,test,0.1417178213596344,0.937043115023124,0.9487915407854985,0.94288073256774,0.9678686938911223,9.678,174.622,10.953,8,1593,25
