run,dataset,eval_precision,eval_recall,eval_f1,trainsize,trainsize_percent
1,test,0.8492513447,0.8824773414,0.865545596,49,0.8
1,test,0.875601575,0.9069486405,0.8909994806,99,1.5
1,test,0.8965414431,0.9084592145,0.9024609844,199,3.1
1,test,0.9199147381,0.9126888218,0.9162875341,398,6.2
1,test,0.9240371442,0.916918429,0.920464023,796,12.5
1,test,0.9297501893,0.9276435045,0.9286956522,1593,25
1,test,0.9303654685,0.9344410876,0.9323988243,3186,50
1,test,0.9310085676,0.9356495468,0.9333232879,6373,100
2,test,0.8613904679,0.8927492447,0.8767895557,49,0.8
2,test,0.875601575,0.9069486405,0.8909994806,99,1.5
2,test,0.908045977,0.9069486405,0.907496977,199,3.1
2,test,0.9197113216,0.9240181269,0.9218596941,398,6.2
2,test,0.9240371442,0.916918429,0.920464023,796,12.5
2,test,0.9276325729,0.9274924471,0.9275625047,1593,25
2,test,0.9370353512,0.9329305136,0.9349784271,3186,50
2,test,0.9412033511,0.9333836858,0.9372772089,6373,100
3,test,0.8564698955,0.8788519637,0.8675165884,49,0.8
3,test,0.875601575,0.9069486405,0.8909994806,99,1.5
3,test,0.908045977,0.9069486405,0.907496977,199,3.1
3,test,0.9197113216,0.9240181269,0.9218596941,398,6.2
3,test,0.9238455715,0.9217522659,0.9227977316,796,12.5
3,test,0.9276325729,0.9274924471,0.9275625047,1593,25
3,test,0.9265613243,0.930060423,0.9283075763,3186,50
3,test,0.9403872542,0.9317220544,0.9360346005,6373,100
3,test,0.8613904679,0.8927492447,0.8767895557,49,100
4,test,0.8801850194,0.8910876133,0.8856027623,99,0.8
4,test,0.8892184488,0.9057401813,0.8974032777,199,1.5
4,test,0.9199147381,0.9126888218,0.9162875341,398,1.5
4,test,0.9240371442,0.916918429,0.920464023,796,3.1
4,test,0.9297501893,0.9276435045,0.9286956522,1593,6.2
4,test,0.9301487156,0.935347432,0.93274083,3186,12.5
5,test,0.9403872542,0.9317220544,0.9360346005,6373,50
5,test,0.8492513447,0.8824773414,0.865545596,49,100
5,test,0.875601575,0.9069486405,0.8909994806,99,0.8
5,test,0.8965414431,0.9084592145,0.9024609844,199,1.5
5,test,0.9199147381,0.9126888218,0.9162875341,398,3.1
5,test,0.9238455715,0.9217522659,0.9227977316,796,6.2
5,test,0.9276325729,0.9274924471,0.9275625047,1593,12.5
5,test,0.9303654685,0.9344410876,0.9323988243,3186,50
,,0.9310085676,0.9356495468,0.9333232879,6373,100
